Company Name,Phone,Address,Years in Business,Owner,Website,Search Term,City,Timestamp
"Expertise Landscape Services, Inc.","(208) 362-4980","Boise, ID 83714","21","Mr. Shayne Geib, President","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Professional Landscaping","(208) 871-7669","Boise, ID 83709","15","","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Basin View Landscape","(208) 362-0626","Boise, ID 83703-5237","33","Mr. Neal Warren, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"A To Z Sprinklers & Landscaping","(208) 658-8080","Boise, ID 83704-6711","38","Mr. Ken Cumpton, President","https://www.atozsprinklers.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Infinite Landscapes","(208) 921-0692","Boise, ID 83709","11","Customer","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Al's Landscape & Sprinkler","(208) 861-4809","Boise, ID 83705","21","Mr. Allen Stenquist, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Forever Green (The Organic Difference)","(208) 344-8300","Boise, ID 83714-6408","27","Mr. Brian Pooley, President","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Willowglenn Landscape","(208) 331-9007","Boise, ID 83709-4321","22","Mr. Jason Doran, Owner","https://www.wglandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Murillo's Landscape and Hydroseeding, LLC","(208) 362-4032","Boise, ID 83709","27","Mr. Robert Murillo, Owner","https://www.facebook.com/MurillosLandscape/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"LuckE13 Landscape Services Corporation","(208) 562-8813","","13","Mr. Mike Kyle, President/COO","https://www.lucke13landscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Fischer Landscaping and Maintenance","(208) 562-8737","Boise, ID 83709","21","Mr. Fred Fischer, Owner","https://www.fischerlandscapinginc.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Fischer Landscaping and Maintenance","(208) 562-8737","Boise, ID 83709","21","Mr. Fred Fischer, Owner","https://www.fischerlandscapinginc.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Westover Landscape","(208) 921-3368","Boise, ID 83704-6900","10","Mr. Christian Westover, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Stark Sprinkler & Landscape","(208) 484-2769","Boise, ID 83709-2884","24","Mr. Michael Stark, Owner","https://www.starklandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"LuckE13 Landscape Services Corporation","(208) 562-8813","","13","Mr. Mike Kyle, President/COO","https://www.lucke13landscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Skye Landscaping, LLC.","(208) 871-3644","Boise, ID 83719","17","Mr. Ryan Niecko, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Cutting Edge Landscape","(208) 378-4588","Boise, ID 83714-6054","29","Mr. Bob Wheeler, Member","https://www.cuttingedgelandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Pro Care Landscape Management, Inc.","(208) 288-5589","Boise, ID 83714-1456","38","Mr. Kevin Allen, General Manager","https://procareidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Green Lawn Care and Landscape, Inc","(208) 376-4967","","40","Ms. Sarah Soto-Rodriguez, Office Manager","https://www.greenlawncareinc.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"FarWest Landscape & Garden Center","(208) 853-4000","Boise, ID 83703","49","Mr. Dennis Fix, President","https://farwestlandscape.net/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Landscape Doctor","(208) 343-7805","Boise, ID 83707","27","Mr. Richard Quender, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Greenview Landscaping, LLC","(208) 412-5619","","15","Mr. Joel Voloshen, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Tilden Construction and Landscaping, LLC","(208) 634-6625","Boise, ID 83709-8115","13","Mr. Alex Tilden, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Terravita Landscape & Gardening","(208) 345-5495","Boise, ID 83714-4610","29","Mr. Kim Ray, President/Co-Owner","https://www.terravitaidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Endless Summer Landscape","(208) 629-9099","","20","Ms. Lindsay Breaux, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Idaho Landscape Solutions, LLC.","(208) 513-6104","Boise, ID 83707","14","Mr. Sam Johnson, Owner","https://www.idaholandscapesolutions.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Boise Basin Landscape Maintenance","(208) 884-1628","Boise, ID 83707","28","Mr. Robert Lee, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Lairds Landscape Services, Inc.","(208) 362-3590","Boise, ID 83709","35","Ms. Vicki Laird, President","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Pro Care Landscape Management, Inc.","(208) 288-5589","Boise, ID 83714-1456","38","Mr. Kevin Allen, General Manager","https://procareidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Tilden Construction and Landscaping, LLC","(208) 634-6625","Boise, ID 83709-8115","13","Mr. Alex Tilden, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Murillo's Landscape and Hydroseeding, LLC","(208) 362-4032","Boise, ID 83709","27","Mr. Robert Murillo, Owner","https://www.facebook.com/MurillosLandscape/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Family Landscape, Inc.","(208) 378-9893","Boise, ID 83709","25","Mr. Steve Gervais, President","https://www.familylandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Terravita Landscape & Gardening","(208) 345-5495","Boise, ID 83714-4610","29","Mr. Kim Ray, President/Co-Owner","https://www.terravitaidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Roots Landscape and Design Consulting, LLC","(208) 573-4796","Boise, ID 83704-2824","12","Ms. Hollieanne Arnell, Member","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Evolution Landscape & Nursery, Inc.","(208) 463-8733","Boise, ID 83709","16","Mr. Mike Baker, Owner","https://www.evolutionlandscapeandnursery.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"After Dark Landscape Lighting","(208) 870-5655","Boise, ID 83713-5146","26","Mr. Scott Ruhoff, President","https://www.adlight.net/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Bradley Built / Lavelle Bradley Landscape","(208) 761-5038","PO Box 1394 (Mailing)","12","Mr. Justin Lavelle, owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Van Shaw Enterprises LLC","(208) 918-6562","Boise, ID 83707-3346","21","Mr. Van Shaw Jr., Member","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"A&A Landscape and Maintenance, LLP","(208) 353-6052","Boise, ID 83709-0003","25","Mr. Federico Munoz, Partner","https://aalandscapeboise.net/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Stonecrest Landscape, Inc.","(208) 371-6762","Boise, ID 83714-3638","32","Mr. Brian Strand, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Harmony Landscape & Design, LLC","(208) 697-3504","Boise, ID 83709-6886","18","Mr. William H Habblett, Owner","https://www.harmonylandscapellc.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"TLC Landscape","(208) 859-9955","Boise, ID 83714","25","Mr. Todd Waggoner, Owner","https://www.tlcscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Family Landscape, Inc.","(208) 378-9893","Boise, ID 83709","25","Mr. Steve Gervais, President","https://www.familylandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Lairds Landscape Services, Inc.","(208) 362-3590","Boise, ID 83709","35","Ms. Vicki Laird, President","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Rick's Landscape","(208) 283-4249","Boise, ID 83703","18","","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kokopelli Garden, Design, & Landscape, LLC","(208) 336-5296","Boise, ID 83703","14","Mr. Suzzanne Profitt, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Bronco Fence & Landscaping","(208) 860-5204","Boise, ID 83716","18","Mr. Jeff Hamilton, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Greenview Landscaping, LLC","(208) 412-5619","","15","Mr. Joel Voloshen, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Sawtooth Landscape & Tree Service LLC","(208) 871-1507","","15","Mr. David Graham, Owner","https://sawtoothboise.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Legends Landscaping","(208) 965-6560","Nampa, ID 83687-8667","15","Mr. Tom Barney, Owner","https://www.legendslandscapingboise.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Sagehorn Landscaping","(208) 794-2770","Meridian, ID 83646","26","Mr. Mike Sagehorn, Owner","https://www.sagehornlandscaping.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Perfect Earth Landscaping and Design Inc","(208) 392-8882","Meridian, ID 83642-5351","17","Mr. Andrew Fuller, Owner","https://perfectearthlandscaping.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Elite Landscaping","(208) 353-3988","Meridian, ID 83642","17","Mr. Shawn Hernandez, Member","https://www.buildzoom.com/contractor/elite-landscaping-ada","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"BC Landscaping LLC","(208) 901-1037","Meridian, ID 83680-0671","12","Mr. Blake Watson Craig, Owner","https://www.facebook.com/bclandscapingtv","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"A Beautiful View Lawn & Landscaping, LLC","(208) 884-0322","","19","Ms. Johnna Vejar, Member","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Jayco Landscaping LLC","(208) 830-0518","Meridian, ID 83642-6554","15","Mr. Justin Yearsley, Member","https://www.jaycolandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Perfect Earth Landscaping and Design Inc","(208) 392-8882","Meridian, ID 83642-5351","17","Mr. Andrew Fuller, Owner","https://perfectearthlandscaping.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Summit Landscaping","(208) 440-8418","","10","Mr. Salvador Torres, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Sprinkler Specialties, Landscaping","(208) 841-7386","Eagle, ID 83616","38","Mr. Bill Hereford, Owner","https://www.sprinklerspecialties.org/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Mullen Landscaping","(208) 808-7171","Nampa, ID 83687","21","Mr. Travis Mullen, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Mr. Tosco Landscaping & Concrete LLC","(208) 409-3235","","10","Mr. Victor Gil, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Traditional Sprinklers and Landscaping","(208) 954-6582","Nampa, ID 83687-9007","19","Mr. Ryan Recla, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"LaCasse Landscaping, Inc.","(208) 887-9652","Meridian, ID 83680-1218","29","Mr. Brian Lacasse, President","https://www.lacasselandscaping.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Sprinkler Specialties, Landscaping","(208) 841-7386","Eagle, ID 83616","38","Mr. Bill Hereford, Owner","https://www.sprinklerspecialties.org/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Titan Landscaping","(208) 994-9405","Middleton, ID 83644-5988","12","Mr. Ky Ransley, Member","https://www.landscapingidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Abstract Landscaping","(208) 941-7041","Middleton, ID 83644-6022","18","Mr. Chris Gibson, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Madrigal's Lawnmowing and Landscaping","(208) 919-3728","","18","Mrs. Vanesa Madrigal, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Eloy's Landscaping & Sprinkler, Inc","(208) 466-1999","","15","Mr. Jorge U Chaparro, President/Owner","https://www.eloyslandscaping.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Gossett Landscape & Design, Inc.","(208) 440-0434","Garden City, ID 83714-6525","36","Mr. Steve Gossett, Owner","https://www.gossettlandscapedesign.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Affordable Rock & Landscaping","(208) 484-6460","Emmett, ID 83717","22","Mr. Andy Long, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Accent Landscaping, LLC","(208) 761-0744","Eagle, ID 83616-9110","23","Mr. Dave McNeal, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Accent Landscaping, LLC","(208) 761-0744","Eagle, ID 83616-9110","23","Mr. Dave McNeal, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"J R Concrete & Landscape","(208) 921-7162","Star, ID 83669","20","Mr. Jose Raul Briones Jr., Owner","https://jrconcreteandlandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Green City Landscape, Inc.","(208) 344-2244","Nampa, ID 83687","30","Mr. Pat Hurley, Owner","https://www.greencitylandscapeinc.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Miranda Landscape","(208) 899-5519","Nampa, ID 83687-3489","15","Mr. Alfonso Miranda, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Madrigal's Lawnmowing and Landscaping","(208) 919-3728","","18","Mrs. Vanesa Madrigal, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Maxey's Landscaping","(208) 869-6708","Melba, ID 83641","23","Mr. Jeff Maxey, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Crazy Creations Landscaping","(208) 941-7496","Caldwell, ID 83607","20","Mr. Casey Jones, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Chapin Landscaping Service LLC","(208) 794-5815","Nampa, ID 83686-9463","16","Mr. Manuel Ramos","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Jon C. Irby Landscaping, LLC","(208) 887-1456","Meridian, ID 83646-5044","19","Mr. Jon Irby, Owner","https://www.joncirby.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Creative Landscaping & Tree Service LLC","(208) 965-3800","Caldwell, ID 83605-8045","14","Ms. Kelly Garcia, Owner","https://creative777.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Hoffman's Landscaping, Inc.","(208) 466-1560","Nampa, ID 83651","48","Mr. Ray Klinchuch, President","https://hoffmanslandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Silver Landscaping, LLC","(208) 250-2301","","13","Mr. Juan Hernandez, Owner","https://www.silverlandscaping.services/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Always Green Landscaping LLC","(208) 350-3370","Caldwell, ID 83606-0625","13","Mr. Hernan Chavez","https://always-green-landscapingllc.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"ProVision Landscape","(208) 888-5497","","29","Mr. Eric Toney, CEO","https://www.pvlidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Hoffman's Landscaping, Inc.","(208) 466-1560","Nampa, ID 83651","48","Mr. Ray Klinchuch, President","https://hoffmanslandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Star Landscaping, LLC","(208) 250-2024","Nampa, ID 83651-8139","19","Mr. Jose Hernandez, Member","https://www.starlandscapingid.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Star Landscaping, LLC","(208) 250-2024","Nampa, ID 83651-8139","19","Mr. Jose Hernandez, Member","https://www.starlandscapingid.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Avalon Landscape, Inc.","(208) 376-6599","Meridian, ID 83642","24","Mr. Mike Martin, General Manager","https://www.avalonlandscapes.net/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"ProVision Landscape","(208) 888-5497","","29","Mr. Eric Toney, CEO","https://www.pvlidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Modern Group of Idaho LLC","(208) 631-7056","","26","Mr. Nick Louie, Owner","https://curbs4less.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kelly Landscaping Inc.","(208) 919-3364","","19","Mr. Greg Kelly, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Palominos Landscaping, LLC","(208) 283-7690","Caldwell, ID 83607-7846","10","Mr. Simon Palominos, Managing Member","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Benny's Landscaping","(208) 452-4068","Fruitland, ID 83619","17","Mrs. Pam Seiders, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Pioneer Landscape, Inc.","(208) 888-2818","Meridian, ID 83646-5513","34","Mr. Kent Frietag, President","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Landscape Technologies LLC","(208) 559-5013","","16","Mr. Randy Sohn Jr., Owner","https://www.landscapetechidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Handley Landscape, LLC","(208) 870-7631","Meridian, ID 83646-5462","13","Mr. Bryan Handley, Owner","https://www.handleylandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Silver Landscaping, LLC","(208) 250-2301","","13","Mr. Juan Hernandez, Owner","https://www.silverlandscaping.services/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Syringa Landscape, LLC.","(208) 921-6237","Eagle, ID 83616","16","Mr. Ken Kope, Partner","https://www.syringalandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Leatham Landscapes, LLC","(208) 888-7147","Meridian, ID 83680-0768","27","Mr. Stan Leatham, President","https://www.leathamlandscapes.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Sunshine Landscape, Inc.","(208) 884-8036","Meridian, ID 83680-0724","25","Mr. Matt Duckett, Owner","https://sunshinelandscape.net/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Eagle Landscape","(208) 939-8723","Eagle, ID 83616-2447","47","Mr. Jason Aird, Owner","https://www.eaglelandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"EZ Landscape & Maintenance, LLC","(208) 898-0430","","28","Mr. Elias Zavala, Owner","https://ezlandscape.net/contact/home/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"All Stone Landscape Lights","(208) 867-4995","Eagle, ID 83616","11","","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Creekside Sprinkler And Landscape","(208) 371-1884","","28","Mr. Juston Hall","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Four Seasons Landscape Management","(208) 938-3104","Eagle, ID 83616-5908","24","Mr. Larry Flansburg, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"EZ Landscape & Maintenance, LLC","(208) 898-0430","","28","Mr. Elias Zavala, Owner","https://ezlandscape.net/contact/home/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Syringa Landscape, LLC.","(208) 921-6237","Eagle, ID 83616","16","Mr. Ken Kope, Partner","https://www.syringalandscape.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Silverstar Landscape","(208) 286-0484","Star, ID 83669-4903","14","Mr. Ryan Snead, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Treasure Tree & Landscape Care","(208) 800-4114","Nampa, ID 83687","10","Mr. Alan Gross, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Chavco Tree & Landscape Services, Inc.","(208) 697-3407","Meridian, ID 83646","26","Mr. Joshua Chaves, President","https://www.chavcotreeboise.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kenyon Landscape","(208) 989-7106","Nampa, ID 83687-8941","16","Mr. Joshua Kenyon, Owner","","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"E Landscape, LLC","(208) 573-9835","","10","Mr. Mireya Beltran, Member","https://www.e-landscapeidaho.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Chavco Tree & Landscape Services, Inc.","(208) 697-3407","Meridian, ID 83646","26","Mr. Joshua Chaves, President","https://www.chavcotreeboise.com/","landscaping","Boise, ID","2025-04-05T18:54:07.487Z"
"Kip's Clean Cut LLC","(208) 860-5085","Boise, ID 83704-5540","20","Mr. Kip Fuhriman, Owner","https://www.kipscleancut.com/","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"Idaho Landscape Solutions, LLC.","(208) 513-6104","Boise, ID 83707","14","Mr. Sam Johnson, Owner","https://www.idaholandscapesolutions.com/","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"Omnione-Services","(208) 473-6241","Boise, ID 83705","17","Mr. Jeremiah Hull, Owner","","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"Gerhard Borbonus Landscaping,Inc.","(208) 362-0525","Boise, ID 83706","53","Mr. Gerhard Borbonus, Owner","https://www.gblandscaping.com/","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"CTA Architects Engineers Inc","(406) 452-3321","Livingston, MT 59047-2623","87","Mr. Dave Turner, Owner","https://www.ctagroup.com/","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"CTA Architects Engineers Inc","(406) 452-3321","Livingston, MT 59047-2623","87","Mr. Dave Turner, Owner","https://www.ctagroup.com/","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"Brower Lawns","(208) 371-4602","","24","Mr. Kevin Brower, Owner","https://brower-lawns.hub.biz/","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"Groundworks & Handyman Services, Inc.","(208) 901-5282","Boise, ID 83716","27","Mr. Richard Wallace, Owner","","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"Westcoast Tree Care Inc","(800) 767-8733","Boise, ID 83702-3924","26","Mr. James M Mosher, President","https://www.westcoast-tree.org/","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
"Expertise Landscape Services, Inc.","(208) 362-4980","Boise, ID 83714","21","Mr. Shayne Geib, President","","landscape service","Boise, ID","2025-04-05T18:54:07.487Z"
