Company Name,City,Search Term,Phone,Address,Years in Business,Owner,Website
"LuckE13 Landscape Services Corporation","Boise, ID","landscaping","(208) 562-8813","","13","Mr. Mike Kyle, President/COO","https://www.lucke13landscape.com/"
"Fischer Landscaping and Maintenance","Boise, ID","landscaping","(208) 562-8737","Boise, ID 83709","21","Mr. Fred Fischer, Owner","https://www.fischerlandscapinginc.com/"
"Westover Landscape","Boise, ID","landscaping","(208) 921-3368","Boise, ID 83704-6900","10","Mr. Christian Westover, Owner",""
"Stark Sprinkler & Landscape","Boise, ID","landscaping","(208) 484-2769","Boise, ID 83709-2884","24","Mr. Michael Stark, Owner","https://www.starklandscape.com/"
"Skye Landscaping, LLC.","Boise, ID","landscaping","(208) 871-3644","Boise, ID 83719","17","Mr. Ryan Niecko, Owner",""
"Cutting Edge Landscape","Boise, ID","landscaping","(208) 378-4588","Boise, ID 83714-6054","29","Mr. Bob Wheeler, Member","https://www.cuttingedgelandscape.com/"
"Pro Care Landscape Management, Inc.","Boise, ID","landscaping","(208) 288-5589","Boise, ID 83714-1456","38","Mr. Kevin Allen, General Manager","https://procareidaho.com/"
"Green Lawn Care and Landscape, Inc","Boise, ID","landscaping","(208) 376-4967","","40","Ms. Sarah Soto-Rodriguez, Office Manager","https://www.greenlawncareinc.com/"
"FarWest Landscape & Garden Center","Boise, ID","landscaping","(208) 853-4000","Boise, ID 83703","49","Mr. Dennis Fix, President","https://farwestlandscape.net/"
"Landscape Doctor","Boise, ID","landscaping","(208) 343-7805","Boise, ID 83707","27","Mr. Richard Quender, Owner",""
"Greenview Landscaping, LLC","Boise, ID","landscaping","(208) 412-5619","","15","Mr. Joel Voloshen, Owner",""
"Tilden Construction and Landscaping, LLC","Boise, ID","landscaping","(208) 634-6625","Boise, ID 83709-8115","13","Mr. Alex Tilden, Owner",""
"Terravita Landscape & Gardening","Boise, ID","landscaping","(208) 345-5495","Boise, ID 83714-4610","29","Mr. Kim Ray, President/Co-Owner","https://www.terravitaidaho.com/"
"Endless Summer Landscape","Boise, ID","landscaping","(208) 629-9099","","20","Ms. Lindsay Breaux, Owner",""
"Boise Basin Landscape Maintenance","Boise, ID","landscaping","(208) 884-1628","Boise, ID 83707","28","Mr. Robert Lee, Owner",""
"Lairds Landscape Services, Inc.","Boise, ID","landscaping","(208) 362-3590","Boise, ID 83709","35","Ms. Vicki Laird, President",""
"Family Landscape, Inc.","Boise, ID","landscaping","(208) 378-9893","Boise, ID 83709","25","Mr. Steve Gervais, President","https://www.familylandscape.com/"
"Roots Landscape and Design Consulting, LLC","Boise, ID","landscaping","(208) 573-4796","Boise, ID 83704-2824","12","Ms. Hollieanne Arnell, Member",""
"Evolution Landscape & Nursery, Inc.","Boise, ID","landscaping","(208) 463-8733","Boise, ID 83709","16","Mr. Mike Baker, Owner","https://www.evolutionlandscapeandnursery.com/"
"After Dark Landscape Lighting","Boise, ID","landscaping","(208) 870-5655","Boise, ID 83713-5146","26","Mr. Scott Ruhoff, President","https://www.adlight.net/"
"Bradley Built / Lavelle Bradley Landscape","Boise, ID","landscaping","(208) 761-5038","PO Box 1394 (Mailing)","12","Mr. Justin Lavelle, owner",""
"A&A Landscape and Maintenance, LLP","Boise, ID","landscaping","(208) 353-6052","Boise, ID 83709-0003","25","Mr. Federico Munoz, Partner","https://aalandscapeboise.net/"
"Stonecrest Landscape, Inc.","Boise, ID","landscaping","(208) 371-6762","Boise, ID 83714-3638","32","Mr. Brian Strand, Owner",""
"Harmony Landscape & Design, LLC","Boise, ID","landscaping","(208) 697-3504","Boise, ID 83709-6886","18","Mr. William H Habblett, Owner","https://www.harmonylandscapellc.com/"
"TLC Landscape","Boise, ID","landscaping","(208) 859-9955","Boise, ID 83714","25","Mr. Todd Waggoner, Owner","https://www.tlcscape.com/"
"Rick's Landscape","Boise, ID","landscaping","(208) 283-4249","Boise, ID 83703","18","",""
"Kokopelli Garden, Design, & Landscape, LLC","Boise, ID","landscaping","(208) 336-5296","Boise, ID 83703","14","Mr. Suzzanne Profitt, Owner",""
"Bronco Fence & Landscaping","Boise, ID","landscaping","(208) 860-5204","Boise, ID 83716","18","Mr. Jeff Hamilton, Owner",""
"Sawtooth Landscape & Tree Service LLC","Boise, ID","landscaping","(208) 871-1507","","15","Mr. David Graham, Owner","https://sawtoothboise.com/"
"Legends Landscaping","Boise, ID","landscaping","(208) 965-6560","Nampa, ID 83687-8667","15","Mr. Tom Barney, Owner","https://www.legendslandscapingboise.com/"
"Sagehorn Landscaping","Boise, ID","landscaping","(208) 794-2770","Meridian, ID 83646","26","Mr. Mike Sagehorn, Owner","https://www.sagehornlandscaping.com/"
"Perfect Earth Landscaping and Design Inc","Boise, ID","landscaping","(208) 392-8882","Meridian, ID 83642-5351","17","Mr. Andrew Fuller, Owner","https://perfectearthlandscaping.com/"
"Elite Landscaping","Boise, ID","landscaping","(208) 353-3988","Meridian, ID 83642","17","Mr. Shawn Hernandez, Member","https://www.buildzoom.com/contractor/elite-landscaping-ada"
"BC Landscaping LLC","Boise, ID","landscaping","(208) 901-1037","Meridian, ID 83680-0671","12","Mr. Blake Watson Craig, Owner","https://www.facebook.com/bclandscapingtv"
"A Beautiful View Lawn & Landscaping, LLC","Boise, ID","landscaping","(208) 884-0322","","19","Ms. Johnna Vejar, Member",""
"Jayco Landscaping LLC","Boise, ID","landscaping","(208) 830-0518","Meridian, ID 83642-6554","15","Mr. Justin Yearsley, Member","https://www.jaycolandscape.com/"
"Sprinkler Specialties, Landscaping","Boise, ID","landscaping","(208) 841-7386","Eagle, ID 83616","38","Mr. Bill Hereford, Owner","https://www.sprinklerspecialties.org/"
"Summit Landscaping","Boise, ID","landscaping","(208) 440-8418","","10","Mr. Salvador Torres, Owner",""
"Mullen Landscaping","Boise, ID","landscaping","(208) 808-7171","Nampa, ID 83687","21","Mr. Travis Mullen, Owner",""
"Mr. Tosco Landscaping & Concrete LLC","Boise, ID","landscaping","(208) 409-3235","","10","Mr. Victor Gil, Owner",""
"Traditional Sprinklers and Landscaping","Boise, ID","landscaping","(208) 954-6582","Nampa, ID 83687-9007","19","Mr. Ryan Recla, Owner",""
"LaCasse Landscaping, Inc.","Boise, ID","landscaping","(208) 887-9652","Meridian, ID 83680-1218","29","Mr. Brian Lacasse, President","https://www.lacasselandscaping.com/"
"Titan Landscaping","Boise, ID","landscaping","(208) 994-9405","Middleton, ID 83644-5988","12","Mr. Ky Ransley, Member","https://www.landscapingidaho.com/"
"Abstract Landscaping","Boise, ID","landscaping","(208) 941-7041","Middleton, ID 83644-6022","18","Mr. Chris Gibson, Owner",""
"Madrigal's Lawnmowing and Landscaping","Boise, ID","landscaping","(208) 919-3728","","18","Mrs. Vanesa Madrigal, Owner",""
"Eloy's Landscaping & Sprinkler, Inc","Boise, ID","landscaping","(208) 466-1999","","15","Mr. Jorge U Chaparro, President/Owner","https://www.eloyslandscaping.com/"
"Gossett Landscape & Design, Inc.","Boise, ID","landscaping","(208) 440-0434","Garden City, ID 83714-6525","36","Mr. Steve Gossett, Owner","https://www.gossettlandscapedesign.com/"
"Affordable Rock & Landscaping","Boise, ID","landscaping","(208) 484-6460","Emmett, ID 83717","22","Mr. Andy Long, Owner",""
"Accent Landscaping, LLC","Boise, ID","landscaping","(208) 761-0744","Eagle, ID 83616-9110","23","Mr. Dave McNeal, Owner",""
"Miranda Landscape","Boise, ID","landscaping","(208) 899-5519","Nampa, ID 83687-3489","15","Mr. Alfonso Miranda, Owner",""
"Green City Landscape, Inc.","Boise, ID","landscaping","(208) 344-2244","Nampa, ID 83687","30","Mr. Pat Hurley, Owner","https://www.greencitylandscapeinc.com/"
"Maxey's Landscaping","Boise, ID","landscaping","(208) 869-6708","Melba, ID 83641","23","Mr. Jeff Maxey, Owner",""
"J R Concrete & Landscape","Boise, ID","landscaping","(208) 921-7162","Star, ID 83669","20","Mr. Jose Raul Briones Jr., Owner","https://jrconcreteandlandscape.com/"
"Crazy Creations Landscaping","Boise, ID","landscaping","(208) 941-7496","Caldwell, ID 83607","20","Mr. Casey Jones, Owner",""
"Chapin Landscaping Service LLC","Boise, ID","landscaping","(208) 794-5815","Nampa, ID 83686-9463","16","Mr. Manuel Ramos",""
"Jon C. Irby Landscaping, LLC","Boise, ID","landscaping","(208) 887-1456","Meridian, ID 83646-5044","19","Mr. Jon Irby, Owner","https://www.joncirby.com/"
"Creative Landscaping & Tree Service LLC","Boise, ID","landscaping","(208) 965-3800","Caldwell, ID 83605-8045","14","Ms. Kelly Garcia, Owner","https://creative777.com/"
"Hoffman's Landscaping, Inc.","Boise, ID","landscaping","(208) 466-1560","Nampa, ID 83651","48","Mr. Ray Klinchuch, President","https://hoffmanslandscape.com/"
"Silver Landscaping, LLC","Boise, ID","landscaping","(208) 250-2301","","13","Mr. Juan Hernandez, Owner","https://www.silverlandscaping.services/"
"Always Green Landscaping LLC","Boise, ID","landscaping","(208) 350-3370","Caldwell, ID 83606-0625","13","Mr. Hernan Chavez","https://always-green-landscapingllc.com/"
"ProVision Landscape","Boise, ID","landscaping","(208) 888-5497","","29","Mr. Eric Toney, CEO","https://www.pvlidaho.com/"
"Star Landscaping, LLC","Boise, ID","landscaping","(208) 250-2024","Nampa, ID 83651-8139","19","Mr. Jose Hernandez, Member","https://www.starlandscapingid.com/"
"Avalon Landscape, Inc.","Boise, ID","landscaping","(208) 376-6599","Meridian, ID 83642","24","Mr. Mike Martin, General Manager","https://www.avalonlandscapes.net/"
"Kelly Landscaping Inc.","Boise, ID","landscaping","(208) 919-3364","","19","Mr. Greg Kelly, Owner",""
"Modern Group of Idaho LLC","Boise, ID","landscaping","(208) 631-7056","","26","Mr. Nick Louie, Owner","https://curbs4less.com/"
"Benny's Landscaping","Boise, ID","landscaping","(208) 452-4068","Fruitland, ID 83619","17","Mrs. Pam Seiders, Owner",""
"Palominos Landscaping, LLC","Boise, ID","landscaping","(208) 283-7690","Caldwell, ID 83607-7846","10","Mr. Simon Palominos, Managing Member",""
"Pioneer Landscape, Inc.","Boise, ID","landscaping","(208) 888-2818","Meridian, ID 83646-5513","34","Mr. Kent Frietag, President",""
"Handley Landscape, LLC","Boise, ID","landscaping","(208) 870-7631","Meridian, ID 83646-5462","13","Mr. Bryan Handley, Owner","https://www.handleylandscape.com/"
"Syringa Landscape, LLC.","Boise, ID","landscaping","(208) 921-6237","Eagle, ID 83616","16","Mr. Ken Kope, Partner","https://www.syringalandscape.com/"
"Sunshine Landscape, Inc.","Boise, ID","landscaping","(208) 884-8036","Meridian, ID 83680-0724","25","Mr. Matt Duckett, Owner","https://sunshinelandscape.net/"
"Leatham Landscapes, LLC","Boise, ID","landscaping","(208) 888-7147","Meridian, ID 83680-0768","27","Mr. Stan Leatham, President","https://www.leathamlandscapes.com/"
"Eagle Landscape","Boise, ID","landscaping","(208) 939-8723","Eagle, ID 83616-2447","47","Mr. Jason Aird, Owner","https://www.eaglelandscape.com/"
"EZ Landscape & Maintenance, LLC","Boise, ID","landscaping","(208) 898-0430","","28","Mr. Elias Zavala, Owner","https://ezlandscape.net/contact/home/"
"All Stone Landscape Lights","Boise, ID","landscaping","(208) 867-4995","Eagle, ID 83616","11","",""
"Creekside Sprinkler And Landscape","Boise, ID","landscaping","(208) 371-1884","","28","Mr. Juston Hall",""
"Four Seasons Landscape Management","Boise, ID","landscaping","(208) 938-3104","Eagle, ID 83616-5908","24","Mr. Larry Flansburg, Owner",""
"Silverstar Landscape","Boise, ID","landscaping","(208) 286-0484","Star, ID 83669-4903","14","Mr. Ryan Snead, Owner",""
"Treasure Tree & Landscape Care","Boise, ID","landscaping","(208) 800-4114","Nampa, ID 83687","10","Mr. Alan Gross, Owner",""
"Chavco Tree & Landscape Services, Inc.","Boise, ID","landscaping","(208) 697-3407","Meridian, ID 83646","26","Mr. Joshua Chaves, President","https://www.chavcotreeboise.com/"
"Kenyon Landscape","Boise, ID","landscaping","(208) 989-7106","Nampa, ID 83687-8941","16","Mr. Joshua Kenyon, Owner",""
"E Landscape, LLC","Boise, ID","landscaping","(208) 573-9835","","10","Mr. Mireya Beltran, Member","https://www.e-landscapeidaho.com/"
"Urban Escapes","Boise, ID","hardscaping","(208) 409-2177","","19","Ms. Terri Minder, Member","https://www.urbanescapesllc.com/"
"Nostalgic Paver Systems","Boise, ID","hardscaping","(208) 830-5028","Boise, ID 83713","20","Mr. Tim Orr, Owner","https://www.nostalgicpaversystems.com/"
"Aloha Gardening, Inc.","Boise, ID","hardscaping","(208) 322-9069","Boise, ID 83713","22","Mr. Steve Spiteri, Owner","https://www.alohagardening.com/"
"Northwest Hardscape Specialties","Boise, ID","hardscaping","(208) 880-5851","Meridian, ID 83642","28","Mr. Blaine Bergin, Owner","https://www.nwhardscapespecialties.com/"
"Canyon Hardscape Supply, LLC","Boise, ID","hardscaping","(208) 614-9447","Caldwell, ID 83605-4369","11","Mr. Matthew Jones, Member","https://www.canyonhardscape.com/"
"T&R Masonry, LLC","Boise, ID","hardscaping","(208) 989-9680","Kuna, ID 83634-5011","18","Mr. Timothy Fellin, Owner","https://yardscapesnorthwest.com/"
"Treasured Scapes","Boise, ID","hardscaping","(208) 994-9691","Meridian, ID 83642","25","Mr. Marty Pieroni, Owner","https://www.treasuredhomes.net/"
"Kodiak Landscape LLC","Boise, ID","hardscaping","(208) 631-0279","","12","Mr. Bo D Richards, Member","https://www.facebook.com/Kodiak-Landscape-LLC-275819335917945/timeline"
"Stoneworks Masonry","Boise, ID","hardscaping","(208) 720-8911","Suite C","12","Mr. John O'Meara, Member","https://www.swmasonry.com/"
"A Greener Season Landscaping, LLC","Boise, ID","hardscaping","(208) 734-8513","","22","Ms. Tonia Camacho, Member","https://www.agreenerseason.com/"
"Kimberly Nurseries, Inc.","Boise, ID","hardscaping","(208) 733-2717","Twin Falls, ID 83301","118","Mr. John Williams, General Manager","https://www.kimberlynurseries.com/"
"Boise City Canal Company","Boise, ID","irrigation","(208) 387-3526","Boise, ID 83702-5173","155","Mr. Alan Winkle, President",""
"Rockrose Irrigation","Boise, ID","irrigation","(208) 867-1494","Boise, ID 83716","19","Mr. Kyle Branscombe, Owner",""
"Absolute Irrigation Maiintenance Inc","Boise, ID","irrigation","(208) 658-1483","","27","Mr. Robert Kovaleski, president",""
"Bee Boise's Best Underground","Boise, ID","irrigation","(208) 949-3254","Boise, ID 83703-4805","16","Mr. Buzz Baker, Owner","https://www.boisewatersewer.com/Sites/US/ID/Eagle/BeeBoisesBestUnderground-78648/Web/Home.htm"
"Gingerich Site & Underground, Inc.","Boise, ID","irrigation","(208) 853-2115","","19","Mr. Travis Gingerich, President",""
"Western Irrigation Inc.","Boise, ID","irrigation","(208) 631-0438","Caldwell, ID 83607-8477","26","Mr. Monte Brown, President",""
"Pioneer Irrigation District","Boise, ID","irrigation","(208) 459-3617","Caldwell, ID 83606","124","Mark Zirschky, Superintendent","https://www.pioneerirrigation.com/"
"Down Under Irrigation & Turf, Inc.","Boise, ID","irrigation","(208) 467-7111","Nampa, ID 83686","30","Mr. Harold King, Owner",""
"Mesa Park Irrigation Company","Boise, ID","irrigation","(208) 452-3542","Fruitland, ID 83619-0702","47","Mr. Ted Pettet, President",""
"Warrington Irrigation, Inc.","Boise, ID","irrigation","(541) 889-9063","Ontario, OR 97914-1108","26","Mr. Richard Warrington, President","https://www.warringtonirrigation.com/"
"Rainy Day, Inc.","Boise, ID","irrigation","(208) 407-5123","Caldwell, ID 83607-7724","30","Mr. Ronald Schaffeld, Owner","https://www.landscaperboise.com/"
"Don's Irrigation LLC","Boise, ID","irrigation","(208) 644-9206","Jerome, ID 83338","29","Mr. Don Ford, Member","https://donsirrigation.com/"
"A & G Irrigation Inc","Boise, ID","irrigation","(208) 324-9551","Jerome, ID 83338-5666","26","Mr. Max Auker, President","https://www.aandgirrigation.com/"
"Irrigation Pipe","Boise, ID","irrigation","(208) 554-3152","Moore, ID 83255","17","Mr. Leon Powell",""
"Irrigation Center","Boise, ID","irrigation","(208) 527-3075","Arco, ID 83213","41","Terrel Kidd, Owner",""
"Gene's Repair & Irrigation","Boise, ID","irrigation","(208) 678-5716","Burley, ID 83318-5216","45","Gene Jensen, Owner",""
"Clearwater Pump & Irrigation LLC","Boise, ID","irrigation","(541) 573-1260","Burns, OR 97720-2309","18","Mr. Matt Nonnenmacher, Member",""
"Magic Valley Irrigation Supply","Boise, ID","irrigation","(208) 678-3101","Burley, ID 83318-5687","17","Mr. Jeff Roberts, Owner",""
"Butte Irrigation, Inc.","Boise, ID","irrigation","(208) 438-8103","Paul, ID 83347-8839","49","Mr. Kade Beck, Owner","https://butteirrigation.com/"
"Harney Pump & Irrigation LLC","Boise, ID","irrigation","(541) 573-2400","Burns, OR 97720-9410","21","Mr. Tod Vanderdasson, Member",""
"CJ Martin Construction LLC","Boise, ID","irrigation","(208) 866-7122","Nampa, ID 83686-9434","18","Mr. Curtis Martin, Owner",""
"Interwest Supply","Boise, ID","irrigation","(208) 453-9155","Caldwell, ID 83607","32","Ms. Maggie Irish",""
"Evergreen Sprinkler Co. Inc.","Boise, ID","irrigation","(208) 342-1771","Garden City, ID 83714-6612","68","Mr. Nick Ragsdale, President/Director","https://www.evergreensprinklersupply.com/"
"Pipeline Inspection Services, Inc.","Boise, ID","irrigation","(208) 465-3444","Nampa, ID 83687","21","Mr. Darin Barnes, President",""
"JTS Farmstore LLC","Boise, ID","irrigation","(208) 366-2538","Glenns Ferry, ID 83623-2749","26","Mrs. Lea Ann T Schrader, Member","https://www.jtsfarmstore.com/"
"Eden Sprinkler and Landscape Construction, LLC","Boise, ID","irrigation","(208) 459-3579","","26","Mr. Mark J Oller, Owner","https://edenlandscaping-asphalt.com/"
"Showalter Construction Company, Inc.","Boise, ID","irrigation","(208) 896-4536","","47","Ms. Sue D Showalter, Vice President","https://www.showalterconst.com/"
"Timberlake Construction, LLC","Boise, ID","irrigation","(208) 573-4397","","22","Mr. Louis S. Krall, Member","https://www.timberlakeconstructionllc.com/"
"KT Landscaping Inc","Boise, ID","irrigation","(541) 786-5050","La Grande, OR 97850","21","Mr. Roger Kerry Tweit, President",""
"J R Pivot Service","Boise, ID","irrigation","(208) 878-5777","Burley, ID 83318-1463","34","Mr. Jorge Rios, Owner",""
"Magic Valley Compost","Boise, ID","irrigation","(208) 324-4536","Jerome, ID 83338-5338","25","Mr. Ray Silene, Owner","https://www.magicvalleycompost.com/"
"Rain for Rent","Boise, ID","irrigation","(208) 438-5065","Paul, ID 83347","30","Mr. Brent Peterson, Principal","https://rainforrent.com/"
"Classic Landscape","Boise, ID","irrigation","(541) 523-7261","Baker City, OR 97814-2541","28","Mr. Donald Fink, Owner",""
"Jay R Nelson","Boise, ID","irrigation","(541) 589-3772","Burns, OR 97720-0572","14","Mr. Jay Nelson, Owner",""
"Steelhead Landscape, Inc.","Boise, ID","irrigation","(208) 324-3233","Jerome, ID 83338-6357","45","Mr. Rod Morgan, Owner","https://www.steelheadlandscape.com/"
"Gem State Plumbing, Inc.","Boise, ID","irrigation","(208) 324-6571","","17","Mr. Vincent Newkirk, Owner","https://www.gemstateplumbinginc.com/"
"Lawnscapes, LLC","Boise, ID","irrigation","(208) 733-9446","Twin Falls, ID 83301-5419","43","Mr. Craig Stringer, Owner",""
"Westcoast Tree Care Inc","Boise, ID","tree service","(800) 767-8733","Boise, ID 83702-3924","26","Mr. James M Mosher, President","https://www.westcoast-tree.org/"
"Mountain West Arbor Care","Boise, ID","tree service","(800) 767-8733","Boise, ID 83702-3924","12","Mr. Jim Mosher, Owner","https://www.westcoast-tree.org/"
"Idaho Tree Preservation, LLP","Boise, ID","tree service","(208) 424-0037","Boise, ID 83706","22","Ms. Janet Davis, Owner","https://www.idahotreepreservation.com/"
"D&D Lawn Services","Boise, ID","tree service","(208) 713-6875","Boise, ID 83706","16","Mr. Larry Gonzales, Owner",""
"Terry's Tree Service, Inc.","Boise, ID","tree service","(208) 362-3354","Boise, ID 83709-5544","16","Ms. Amy Wakagawa, Owner","https://www.terrystreeserviceinc.com/"
"MKM Tree Service","Boise, ID","tree service","(208) 323-1056","","19","Mr. Michael Miller, Owner","https://www.facebook.com/pages/M-K-M-Tree-Service/156007637771431"
"Timberline Tree Service","Boise, ID","tree service","(208) 377-5663","","17","Ms. Pam Kirschner, Owner",""
"Treasure Valley Premier Services LLC","Boise, ID","tree service","(208) 484-6365","Boise, ID 83706-6721","21","Mr. James Feehan, Owner","https://treasurevalleyservices.com/"
"A Tree Company LLC","Boise, ID","tree service","(208) 880-3413","","19","Mr. Erik L Burkholder, Owner","https://www.atreecompanyboise.com/"
"Country Wide Tree Care","Boise, ID","tree service","(208) 378-1868","Boise, ID 83703-4146","18","Mr. James Molinaro, Owner",""
"Brown Tree Service LLC","Boise, ID","tree service","(208) 860-0904","Boise, ID 83709-3743","18","Mr. James Brown, Member","https://www.stumpgrinderjim.com/home"
"A&A Stump Removal & Shrub Care","Boise, ID","tree service","(208) 713-0835","Boise, ID 83703-5108","21","Mr. Joe M Neal, Owner/Operator","https://aa-stump-removal-shrub-care.business.site/"
"Little Tree","Boise, ID","tree service","(208) 286-6875","","19","Ms. Jessica Southern, Owner",""
"Arborman Tree Care","Boise, ID","tree service","(208) 286-6875","","11","Ms. Jessica Southern, Managing Member","https://arbormantreecare.net/"
"Senske Services","Boise, ID","tree service","(877) 944-4007","Boise, ID 83709-0537","78","Mr. Christopher Senske, President","https://senske.com/"
"Home Depot","Boise, ID","tree service","(208) 375-1186","Boise, ID 83704","46","Manager, Manager","https://www.homedepot.com/"
"Conner Tree Service","Boise, ID","tree service","(208) 412-6695","","14","Mr. Sean Conner, Managing Member",""
"AJ's Tree Preservation","Boise, ID","tree service","(208) 336-6036","Boise, ID 83719-0507","26","Mr. Arturo Lopez, Owner",""
"Ada Tree and Shrub","Boise, ID","tree service","(208) 362-2013","Boise, ID 83719","18","Ms. Monique Sorenson, Owner",""
"Independent Tree Service","Boise, ID","tree service","(208) 859-3415","Boise, ID 83703","32","Mr. John Lancaster, Owner",""
"Done-Rite Tree Company, Inc.","Boise, ID","tree service","(208) 362-0246","Boise, ID 83719","29","Ms. Tina Butcher, Co-Owner","https://www.doneritetreeco.com/"
"Everyday Lawn Care","Boise, ID","tree service","(866) 283-9235","","14","Mr. Cordell Gardner, Owner",""
"Green Services","Boise, ID","tree service","(208) 939-7378","Boise, ID 83714-6077","18","Mr. Jamin Martin, President","https://www.mygreenservices.com/"
"A Shade Greener Lawn Maintenance","Boise, ID","tree service","(208) 860-7114","Boise, ID 83713-5121","22","Mr. John Stoeger, Owner",""
"Forest Management, Inc.","Boise, ID","tree service","(208) 362-1725","","51","Mr. Patrick L Atkins, President","https://www.fmitree.com/"
"Woolf Tree Service Inc","Boise, ID","tree service","(208) 342-1813","Eagle, ID 83616","46","Mr. Lynn Steadham, President/Owner","https://www.woolftreeserviceinc.com/"
"Holloway Tree Service","Boise, ID","tree service","(208) 888-4242","Meridian, ID 83646","62","Mr. Harold Holloway, Owner",""
"Meridian Tree Service","Boise, ID","tree service","(208) 887-0055","Meridian, ID 83680","48","Mr. Dennis Moore, Owner",""
"Climbing Sammy's Tree Service","Boise, ID","tree service","(208) 409-8329","Kuna, ID 83634-1434","16","Mr. Samuel A Mortensen, Owner","https://www.climbingsammystreeservice.com/"
"Timmy's Tree Service","Boise, ID","tree service","(208) 412-5647","","18","Mr. Tim Andra, Owner","https://www.timmystrees.com/"
"Advanced Contracting Tree Service","Boise, ID","tree service","(208) 602-8266","","19","Mr. Randy Ducker, Owner","https://advancedcontractingtreeservices.com/"
"His Resources Tree Service","Boise, ID","tree service","(208) 467-7671","","30","Mr. Skeeter Lowe, Owner",""
"Integrity Tree Service LLC","Boise, ID","tree service","(801) 608-1761","Nampa, ID 83651","10","Steve Erickson, Managing Member","https://www.integritytreespecialists.com/"
"Parker Tree Service Inc.","Boise, ID","tree service","(208) 461-8733","","88","Mr. Justin P Parker, Owner","https://www.parkertreeservice.net/"
"Meyers Lawn Service","Boise, ID","tree service","(208) 440-4160","","12","Mr. Parker Meyers, Owner","https://www.facebook.com/MeyersLawnService/"
"Stockdale Tree Care","Boise, ID","tree service","(208) 884-8733","Meridian, ID 83642","21","Mr. Rick Stockdale, Owner",""
"The Tree Guy","Boise, ID","tree service","(208) 573-1798","Meridian, ID 83642","17","Kimble / Julie Johnson, Owner",""
